time,nav
2026-09-11T05:59:00Z,1771.73
2026-09-11T06:59:00Z,1766.34
2026-09-11T07:59:00Z,1765.03
2026-09-11T08:59:00Z,1737.69
2026-09-11T09:59:00Z,1734.28
2026-09-11T10:59:00Z,1728.88
2026-09-11T11:59:00Z,1727.37
2026-09-11T12:59:00Z,1836.27
2026-09-11T13:59:00Z,1801.52
2026-09-11T14:59:00Z,1723.37
2026-09-11T15:59:00Z,1770.05
2026-09-11T16:59:00Z,1764.57
2026-09-11T17:59:00Z,1766.04
2026-09-11T18:59:00Z,1759.90
2026-09-11T19:59:00Z,1742.78
2026-09-11T20:59:00Z,1735.34
2026-09-11T21:59:00Z,1727.40
2026-09-11T22:59:00Z,1727.40
2026-09-11T23:59:00Z,1727.40
2026-09-12T00:22:00Z,1727.40
2026-09-12T01:59:00Z,1727.40
2026-09-12T02:59:00Z,1727.40
2026-09-12T03:59:00Z,1727.40
2026-09-12T04:59:00Z,1727.40
2026-09-12T05:59:00Z,1727.40
2026-09-12T06:59:00Z,1727.40
2026-09-12T07:59:00Z,1727.40
2026-09-12T08:59:00Z,1727.40
2026-09-12T09:59:00Z,1727.40
2026-09-12T10:59:00Z,1727.40
2026-09-12T11:59:00Z,1727.40
2026-09-12T12:59:00Z,1727.40
2026-09-12T13:59:00Z,1727.40
2026-09-12T14:59:00Z,1727.40
2026-09-12T15:59:00Z,1727.40
2026-09-12T16:59:00Z,1727.40
2026-09-12T17:59:00Z,1727.40
2026-09-12T18:59:00Z,1727.40
2026-09-12T19:59:00Z,1727.40
2026-09-12T20:59:00Z,1727.40
2026-09-12T21:59:00Z,1727.84
2026-09-12T22:59:00Z,1727.84
2026-09-12T23:59:00Z,1727.84
2026-09-13T00:59:00Z,1727.84
2026-09-13T01:59:00Z,1727.84
2026-09-13T02:59:00Z,1727.84
2026-09-13T03:59:00Z,1727.84
2026-09-13T04:59:00Z,1727.84
2026-09-13T05:59:00Z,1727.84
2026-09-13T06:59:00Z,1727.84
2026-09-13T07:59:00Z,1727.84
2026-09-13T08:59:00Z,1727.84
2026-09-13T09:59:00Z,1727.84
2026-09-13T10:59:00Z,1727.84
2026-09-13T11:59:00Z,1727.84
2026-09-13T12:59:00Z,1727.84
2026-09-13T13:59:00Z,1727.84
2026-09-13T14:59:00Z,1727.84
2026-09-13T15:59:00Z,1727.84
2026-09-13T16:59:00Z,1727.84
2026-09-13T17:59:00Z,1727.84
2026-09-13T18:59:00Z,1727.84
2026-09-13T19:59:00Z,1727.84
2026-09-13T20:59:00Z,1727.84
2026-09-13T21:59:00Z,1728.29
2026-09-13T22:59:00Z,1613.27
2026-09-13T23:59:00Z,1612.11
2026-09-14T00:59:00Z,1619.08
2026-09-14T01:59:00Z,1623.87
2026-09-14T02:59:00Z,1622.54
2026-09-14T03:59:00Z,1639.28
2026-09-14T04:59:00Z,1624.76
2026-09-14T05:59:00Z,1666.33
2026-09-14T06:59:00Z,1663.55
2026-09-14T07:59:00Z,1660.18
2026-09-14T08:59:00Z,1662.87
2026-09-14T09:59:00Z,1646.19
2026-09-14T10:59:00Z,1656.72
2026-09-14T11:59:00Z,1668.30
2026-09-14T12:59:00Z,1668.73
2026-09-14T13:59:00Z,1676.93
2026-09-14T14:59:00Z,1665.82
2026-09-14T15:59:00Z,1805.98
2026-09-14T16:59:00Z,1855.33
2026-09-14T17:59:00Z,1867.15
2026-09-14T18:59:00Z,1837.25
